mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_metric;param_n_neighbors;param_weights;params;mean_test_score;std_test_score;rank_test_score
0,2871182918548584;0,034705525908981974;0,5519325256347656;0,08345764632618412;euclidean;3;distance;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};0,9993954461644939;0,00018597081734504132;1
0,2813549041748047;0,03967116133277039;0,5890474796295166;0,0374105670452675;manhattan;3;distance;{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'};0,9993024445369654;0,00032879511961740707;2
0,28092279434204104;0,05158019058762002;0,55820631980896;0,008490560318022035;euclidean;5;distance;{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'};0,9991629420956727;0,00037774511615839266;3
0,26757168769836426;0,07318052324996839;0,614757776260376;0,0830589742843354;manhattan;5;distance;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};0,9991163980253376;0,0002278462901292525;4
0,33493890762329104;0,06083630090324653;1,25980486869812;0,16104096860209374;euclidean;3;uniform;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'};0,9989768847699022;0,00027905357215828963;5
0,355304479598999;0,12151598145840463;0,751736068725586;0,07376092615234725;manhattan;7;distance;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};0,9988373931427521;0,000389014958660417;6
0,31151604652404785;0,06822522878487611;0,5593332767486572;0,0674736682822706;euclidean;7;distance;{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'};0,9986978690731739;0,00040539712786896704;7
0,34290189743041993;0,0615772824242731;0,7541701793670654;0,1395386445486511;manhattan;11;distance;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'};0,9986048998880737;0,0008699129995854561;8
0,3348094940185547;0,09444186290252037;1,3518043041229248;0,07466438725412164;manhattan;3;uniform;{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'};0,9984653217477817;0,0004787951290048667;9
0,29094843864440917;0,027601125320809532;0,6269001007080078;0,05401901580815923;euclidean;11;distance;{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'};0,9983258301206318;0,00017386587633805655;10
0,25815281867980955;0,03633084714763841;1,344637966156006;0,12615802535506365;euclidean;5;uniform;{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'};0,9978608327971321;0,0008991979554784762;11
0,30598111152648927;0,03826657888479928;1,4209630966186524;0,06761365560791202;manhattan;5;uniform;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'};0,9972562248909123;0,0003998467329130176;12
0,2947238922119141;0,04253901134426961;1,3754371643066405;0,25501007690487487;euclidean;7;uniform;{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'};0,9968841643100846;0,0005008673735857727;13
0,3339231491088867;0,10864154309403573;1,544036340713501;0,07590711528762474;manhattan;7;uniform;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'};0,9967447051253628;0,0008316565666682546;14
0,2386928081512451;0,02918796490299874;1,4292757511138916;0,12182331786242394;euclidean;11;uniform;{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'};0,9955355541977798;0,0007695400065586712;15
0,3059544563293457;0,10070893316663354;1,6663245677947998;0,19733308700280697;manhattan;11;uniform;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'};0,9951635476876659;0,0010742777326431445;16
