mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;mean_test_score;std_test_score;rank_test_score
19,425382947921754;0,5941252898335204;0,8795440196990967;0,0958466867086161;20;sqrt;1;5;200;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200};0,9999069875583289;0,00011391651219569498;1
29,141824197769164;0,6879451844153136;1,299253273010254;0,1415524949455294;20;sqrt;1;5;300;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300};0,9998604867445646;0,0001860086633071616;2
10,166234159469605;0,5430802891737188;0,6499541282653809;0,0571486377070642;15;sqrt;1;5;100;{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0,9998604867445646;0,0001860086633071616;2
10,218506574630737;0,3230134777801363;0,615352201461792;0,07617193078417199;20;sqrt;1;5;100;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100};0,9998604867445644;0,00011391209776822245;4
19,204360151290892;0,22692581006659446;0,9072795391082764;0,09087018887253072;20;sqrt;2;5;200;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200};0,9998604759304218;0,00011392092747866014;5
28,960163640975953;0,5170544041116508;1,2695946216583252;0,07947235061198893;15;sqrt;1;5;300;{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300};0,9998139859308003;0,00027114586359689835;6
10,012218475341797;0,48318894363341025;0,6584681987762451;0,08509000087087801;20;sqrt;2;5;100;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100};0,9998139859308003;0,0001739930048334396;6
19,532889890670777;0,29819965681136923;0,8774556636810302;0,10432033665253146;15;sqrt;1;5;200;{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200};0,9998139859308003;0,00027114586359689835;6
28,86658320426941;0,49808481150297335;1,253968858718872;0,1389882283686705;15;sqrt;2;5;300;{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300};0,9997674743028933;0,00029411407043755325;9
19,167961359024048;0,3274486713802955;0,9874291896820069;0,035822334851364546;20;sqrt;1;10;200;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200};0,9997674743028933;0,00014704848693216182;9
19,24247803688049;0,2725769636450998;0,8793446063995362;0,13277499876293164;15;sqrt;2;5;200;{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200};0,9997674743028933;0,00029411407043755325;9
28,939460611343385;0,42964566273427157;1,2777909755706787;0,08502662453183549;20;sqrt;2;5;300;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300};0,9997674634887506;0,00020798214542264818;12
29,024483966827393;0,4261426227997175;1,2919580459594726;0,11515264672031554;20;sqrt;1;10;300;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300};0,999720973489129;0,00022780211933519042;13
19,291466999053956;0,3244931813949629;0,969521427154541;0,12072269881449511;20;sqrt;2;10;200;{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200};0,9996744618612221;0,00023711704388715087;14
