mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_colsample_bytree;param_learning_rate;param_max_depth;param_n_estimators;param_subsample;params;mean_test_score;std_test_score;rank_test_score
356,7698595046997;2,3375001808261917;0,5517231464385987;0,019724063493742817;1.0;0.1;6;300;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8};0,9995814710478363;0,0002711291721370106;1
334,351376581192;5,964587161033307;0,5836920738220215;0,021416840879760087;0.8;0.1;6;300;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8};0,9995814602336937;0,0003084482458335255;2
258,78939990997316;1,3806483595681884;0,4723195552825928;0,032029386668106695;0.8;0.1;6;200;0.8;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8};0,9995814602336937;0,0003084482458335255;2
342,41308484077456;38,356776419645264;0,38370561599731445;0,16274097078029728;1.0;0.1;6;300;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0};0,9995349702340721;0,00025467570318938443;4
279,82049322128296;0,9324823932359948;0,4450727939605713;0,02748815493889199;1.0;0.1;6;200;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8};0,9995349702340721;0,00029407987112750763;4
268,9878451824188;1,9887440159566596;0,4520097255706787;0,059842553126375125;0.8;0.1;6;200;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0};0,9995349594199295;0,000328802763436649;6
342,95682258605956;1,8267146363072144;0,5721725940704345;0,0483347057612676;0.8;0.1;6;300;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 300, 'subsample': 1.0};0,9995349594199295;0,000328802763436649;6
295,17420825958254;1,8618389325030815;0,46279239654541016;0,03289955124532849;1.0;0.1;6;200;1.0;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0};0,9994884694203078;0,00027112175318886797;8
265,4724499225616;1,9752541472728324;0,34295654296875;0,023501066812310116;1.0;0.1;3;300;0.8;{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8};0,9993489453507298;0,0003720389611863927;9
164,5501537322998;1,2104581904604055;0,3026073932647705;0,023230327817760514;0.8;0.1;6;100;1.0;{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0};0,9993489453507298;0,00017394387201338974;9
