Va;Vb;Vc;phi_Va;phi_Vb;phi_Vc;Ia;Ib;Ic;phi_Ia;phi_Ib;phi_Ic;RF;Factor_Carga;Nodo_Falla;Tipo_Falla
127,015;127,017;127,017;-4,07E-11;-120;120;355,939;12,8642;16,3424;-55,8708;81,3307;109,676;0;0,7;Nodo 2;LG A
127,015;127,017;127,017;-5,64E-11;-120;120;355,939;12,0548;17,1486;-55,8708;83,0431;108,471;0;1;Nodo 2;LG A
127,015;127,017;127,017;-8,87E-11;-120;120;355,939;11,2543;17,9656;-55,8708;85,0402;107,354;0;1,3;Nodo 2;LG A
127,017;127,017;127,017;-4,07E-11;-120;120;139,848;1,78749;9,64008;-13,866;144,668;157,4;0,5;0,7;Nodo 2;LG A
127,017;127,017;127,017;-5,64E-11;-120;120;140,379;2,13443;10,1481;-14,0106;168,818;152,327;0,5;1;Nodo 2;LG A
127,017;127,017;127,017;-8,87E-11;-120;120;140,912;2,74572;10,7274;-14,1563;-175,678;147,722;0,5;1,3;Nodo 2;LG A
127,017;127,017;127,017;-4,07E-11;-120;120;81,9926;1,26875;7,53788;-4,15412;-88,4047;169,276;1;0,7;Nodo 2;LG A
127,017;127,017;127,017;-5,64E-11;-120;120;82,6763;2,0018;7,91648;-4,44374;-108,914;162,311;1;1;Nodo 2;LG A
127,017;127,017;127,017;-8,87E-11;-120;120;83,3647;2,85475;8,39931;-4,73309;-118,032;156,004;1;1,3;Nodo 2;LG A
127,017;127,017;127,017;-4,07E-11;-120;120;45,0771;2,75707;6,16523;3,52897;-62,324;177,868;2;0,7;Nodo 2;LG A
127,017;127,017;127,017;-5,64E-11;-120;120;45,8436;3,12985;6,44287;2,94719;-79,5584;169,075;2;1;Nodo 2;LG A
127,017;127,017;127,017;-8,87E-11;-120;120;46,6176;3,71812;6,85626;2,37546;-92,3877;161,101;2;1,3;Nodo 2;LG A
127,017;127,017;127,017;-4,07E-11;-120;120;20,2322;3,81219;5,23015;13,6667;-54,2281;-175,371;5;0,7;Nodo 2;LG A
127,017;127,017;127,017;-5,64E-11;-120;120;21,0095;4,02826;5,42555;12,1336;-68,1891;174,084;5;1;Nodo 2;LG A
127,017;127,017;127,017;-8,87E-11;-120;120;21,8035;4,4518;5,78682;10,6893;-80,2234;164,479;5;1,3;Nodo 2;LG A
127,017;127,017;127,017;-4,07E-11;-120;120;11,716;4,18394;4,9012;23,8687;-51,9273;-172,7;10;0,7;Nodo 2;LG A
127,017;127,017;127,017;-5,64E-11;-120;120;12,4292;4,35378;5,06363;20,7282;-64,9692;175,988;10;1;Nodo 2;LG A
