mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;param_gamma;param_kernel;params;mean_test_score;std_test_score;rank_test_score
19,151477241516112;0,6974548266693994;0,5154945373535156;0,02546361421778052;100;scale;rbf;{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'};0,998535167592177;0,00023647932123120765;1
19,520544672012328;0,446092248016699;0,5218428134918213;0,01729530040111775;100;auto;rbf;{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'};0,998535167592177;0,00023647932123120765;1
51,16851091384888;2,126601629936192;1,7028729915618896;0,02489017160399553;10;scale;rbf;{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'};0,9899030099401696;0,0008616382687213997;3
50,96621270179749;1,2977772027781715;1,6878998756408692;0,02876153838193972;10;auto;rbf;{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'};0,9898681343298463;0,0009988921492954733;4
72,34367423057556;2,274468623431349;0,709241533279419;0,035339168304136526;100;scale;poly;{'C': 100, 'gamma': 'scale', 'kernel': 'poly'};0,9891706221233827;0,0011028687373016315;5
65,80960659980774;9,623206351366273;0,650748872756958;0,06778902141460781;100;auto;poly;{'C': 100, 'gamma': 'auto', 'kernel': 'poly'};0,9891357465130595;0,0010566562726143343;6
124,88121247291565;0,973321338795761;3,514011573791504;0,054556800818151924;1;scale;rbf;{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'};0,964128676767246;0,0018651433700898415;7
122,5900764465332;1,0482022422149264;3,5197404861450194;0,05089721304348518;1;auto;rbf;{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'};0,9640240499362763;0,0020109637566861726;8
152,2221326828003;4,43679114766999;1,7016297340393067;0,1009370439642718;10;auto;poly;{'C': 10, 'gamma': 'auto', 'kernel': 'poly'};0,956595106964658;0,0017223277594006178;9
155,0835790157318;8,817514031631815;1,6755460262298585;0,042313400782515935;10;scale;poly;{'C': 10, 'gamma': 'scale', 'kernel': 'poly'};0,9565602313543348;0,001629770130364707;10
242,33300919532775;3,2510639090851785;6,646279621124267;0,07432404190308599;0.1;auto;rbf;{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'};0,9272633517746064;0,002277217794837144;11
238,59572563171386;5,266921940184463;6,658313322067261;0,11939942927280768;0.1;scale;rbf;{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'};0,92719360055396;0,0021603417695194647;12
276,2093143463135;6,097723944931199;3,2725296020507812;0,13004545300689693;1;scale;poly;{'C': 1, 'gamma': 'scale', 'kernel': 'poly'};0,8766914156392964;0,003802978085658984;13
272,3229237556458;5,1180216644376175;3,287307691574097;0,16619046858390782;1;auto;poly;{'C': 1, 'gamma': 'auto', 'kernel': 'poly'};0,8764472863670342;0,004495761350150768;14
388,18411884307864;10,030386899645388;5,3792431354522705;0,1754233969950191;0.1;scale;poly;{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'};0,687814007559086;0,004780126144639349;15
388,100334072113;12,43929608059551;5,381538438796997;0,2529473571931095;0.1;auto;poly;{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'};0,6877791319487627;0,004805652451748514;16
