mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_activation;param_alpha;param_hidden_layer_sizes;param_max_iter;params;mean_test_score;std_test_score;rank_test_score
47,97230205535889;6,406274928226851;0,12196159362792969;0,0012805631141417598;tanh;0.001;(64, 32, 16);1000;{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32, 16), 'max_iter': 1000};0,9996861113964843;0,000130483915100526;1
48,32857055664063;6,204974254265751;0,1232461929321289;0,0004775190484574601;tanh;0.0001;(64, 32, 16);1000;{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32, 16), 'max_iter': 1000};0,9996861113964843;0,000130483915100526;1
48,4565071105957;6,2215118618989065;0,12568788528442382;0,0036308499231376672;tanh;0.0001;(64, 32, 16);500;{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32, 16), 'max_iter': 500};0,9996861113964843;0,000130483915100526;1
48,45829248428345;6,162055107185435;0,12812061309814454;0,008526033156268212;tanh;0.001;(64, 32, 16);500;{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32, 16), 'max_iter': 500};0,9996861113964843;0,000130483915100526;1
49,334672403335574;4,661981015918921;0,11035699844360351;0,004764317148757551;tanh;0.0001;(64, 32);1000;{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 1000};0,9996512357861611;0,00024660207097698585;5
49,26936240196228;4,3610583980160635;0,10777301788330078;4,374689227573952e-05;tanh;0.0001;(64, 32);500;{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 500};0,9996512357861611;0,00024660207097698585;5
35,87504172325134;4,027888824358041;0,05513472557067871;0,0005023143582369736;relu;0.001;(64, 32);1000;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 1000};0,9996338871034773;0,00024892556336268137;7
38,349592733383176;3,5275234460812355;0,05709915161132813;0,0012260080472839571;relu;0.0001;(64, 32);500;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 500};0,9996338871034773;0,00024892556336268137;7
37,680294799804685;3,706439627723834;0,058887672424316403;0,0037548458696462193;relu;0.0001;(64, 32);1000;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 32), 'max_iter': 1000};0,9996338871034773;0,00024892556336268137;7
35,64990363121033;3,821584632654776;0,05587763786315918;0,0011445516596950318;relu;0.001;(64, 32);500;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 500};0,9996338871034773;0,00024892556336268137;7
