Fold,Recall,Specificity,ROC_AUC,Precision,Accuracy,AHP_Score,TP,FP,FN,TN
1,1.0,1.0,1.0,1.0,1.0,1.0,192,0,0,20
2,1.0,1.0,1.0,1.0,1.0,1.0,192,0,0,19
3,1.0,1.0,1.0,1.0,1.0,1.0,192,0,0,19
4,1.0,1.0,1.0,1.0,1.0,1.0,192,0,0,19
5,1.0,1.0,1.0,1.0,1.0,1.0,192,0,0,19
