Feature,Importance,Std,Importance_Normalized
phi_Ib,0.0006908462867012114,0.0017613193483912962,1.0
Va,0.0,0.0,0.0
Vc,0.0,0.0,0.0
Vb,0.0,0.0,0.0
phi_Va,0.0,0.0,0.0
phi_Vb,0.0,0.0,0.0
Ia,0.0,0.0,0.0
phi_Vc,0.0,0.0,0.0
Ib,0.0,0.0,0.0
Ic,0.0,0.0,0.0
phi_Ia,0.0,0.0,0.0
phi_Ic,0.0,0.0,0.0
