Feature,Importance
phi_Ib,0.28973423608967513
phi_Vb,0.215801964880986
phi_Vc,0.18704141009861994
phi_Ic,0.13183836527327503
Ic,0.06371662461574938
Ia,0.04865244924574532
Ib,0.03620952585185269
phi_Ia,0.02467055360162143
Vb,0.0012462777831473224
Vc,0.0005624673304384782
Va,0.0005261252288893552
phi_Va,0.0
