Threshold,Recall,Specificity,Precision,ROC_AUC,AHP_Score,TP,FP,FN,TN
0.7700000000000002,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.7800000000000001,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.7900000000000001,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.8000000000000002,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.8100000000000002,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.8200000000000002,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.8300000000000002,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.8400000000000002,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.8500000000000002,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.8600000000000002,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.8700000000000002,1.0,1.0,1.0,1.0,1.0,193,0,0,19
0.8800000000000002,0.9948186528497409,1.0,1.0,1.0,0.996640932642487,192,0,1,19
0.8900000000000002,0.9948186528497409,1.0,1.0,1.0,0.996640932642487,192,0,1,19
0.9000000000000002,0.9948186528497409,1.0,1.0,1.0,0.996640932642487,192,0,1,19
0.9100000000000003,0.9948186528497409,1.0,1.0,1.0,0.996640932642487,192,0,1,19
0.9200000000000003,0.9948186528497409,1.0,1.0,1.0,0.996640932642487,192,0,1,19
0.9300000000000002,0.9948186528497409,1.0,1.0,1.0,0.996640932642487,192,0,1,19
0.9400000000000002,0.9948186528497409,1.0,1.0,1.0,0.996640932642487,192,0,1,19
0.9500000000000002,0.9948186528497409,1.0,1.0,1.0,0.996640932642487,192,0,1,19
