mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_n_estimators;param_min_samples_split;param_min_samples_leaf;param_max_features;param_max_depth;params;mean_test_score;std_test_score;rank_test_score
1,0819595336914063;0,07528263618906349;0,19822397232055664;0,04897014145319856;100;5;2;sqrt;15;{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15};0,965746677925838;0,00821737514173725;1
0,7512815952301025;0,10206102656344536;0,14599838256835937;0,04670177258822889;50;5;2;sqrt;15;{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15};0,9657455179837422;0,007992583157523743;2
0,5413168430328369;0,03805113108735124;0,12604823112487792;0,0068939059659274575;50;10;2;sqrt;15;{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 15};0,9612242956831596;0,006735928865717067;3
1,2721850872039795;0,12322943712206111;0,22546496391296386;0,048533979648567226;100;5;4;sqrt;15;{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 15};0,9588559259121785;0,008145649753212738;4
1,1828961372375488;0,09521716473744442;0,20533018112182616;0,04306661980453507;100;10;4;sqrt;15;{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 15};0,9588549979585019;0,007082829515512144;5
0,5708940029144287;0,07058300341549102;0,15242252349853516;0,05295616759567606;50;5;4;sqrt;15;{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 15};0,9554078820385286;0,007381755305003359;6
0,5836268901824951;0,05525709287087288;0,13958301544189453;0,011658998739796513;50;10;4;sqrt;15;{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 15};0,953683744107494;0,0054888639597025285;7
1,0589722633361816;0,08535411612088668;0,17663969993591308;0,049095028959073306;100;5;2;sqrt;10;{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10};0,9336492242307264;0,013530698252858435;8
0,68473801612854;0,10806028320893513;0,184022855758667;0,05673824233961802;50;5;2;sqrt;10;{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10};0,9323572807245462;0,01459388108297121;9
0,9983983516693116;0,03767097766073667;0,21530590057373047;0,047594471902179844;100;5;4;sqrt;10;{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10};0,9271846349430236;0,017046941801046503;10
1,0261352062225342;0,03682590597877034;0,21669039726257325;0,044683285175741445;100;10;2;sqrt;10;{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10};0,926755224379199;0,01707149892409614;11
0,5036376953125;0,03782033660710469;0,1316767692565918;0,007544987511331873;50;5;4;sqrt;10;{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10};0,9241713373668388;0,016924052415883042;12
0,9710365772247315;0,03682621217565196;0,1892244338989258;0,04987286417370936;100;10;4;sqrt;10;{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10};0,9241697134479046;0,0149537141081558;13
1,0538625240325927;0,09932233763634639;0,19828276634216307;0,06296142413672405;100;5;2;sqrt;5;{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 5};0,8211981737871644;0,02401938474504464;14
0,5772933959960938;0,0626118758599385;0,1280984878540039;0,006395524364253961;50;5;2;sqrt;5;{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 5};0,8181816283731116;0,028189063220655803;15
0,8454625129699707;0,050404275428577575;0,16346020698547364;0,04836730108593901;100;10;2;sqrt;5;{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 5};0,8155977413607512;0,024926911314360468;16
0,9604978561401367;0,13085460544519556;0,19971780776977538;0,04259815810517573;100;10;4;sqrt;5;{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5};0,8153801362235997;0,024580267215442642;17
0,4949678897857666;0,022444936939642866;0,12423734664916992;0,007518988616791634;50;10;2;sqrt;5;{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 5};0,8143046379124754;0,021944245146377443;18
0,9636277675628662;0,10285286697847687;0,1680298328399658;0,05785027829848526;100;5;4;sqrt;5;{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5};0,8136583181767566;0,02254056583252037;19
0,4842860698699951;0,038953161429359104;0,12752184867858887;0,009276856452810508;50;5;4;sqrt;5;{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5};0,809347509372332;0,026544747337200053;20
