Feature,Importance
phi_Vc,0.36447789277766446
phi_Va,0.29058615865392534
phi_Ib,0.09422264206692577
Ib,0.08065893874802367
phi_Ic,0.057908341966098925
Ia,0.05462550959581176
Ic,0.022589460673645062
Vc,0.017425288395527268
phi_Ia,0.008200345751889982
Va,0.005243356776183817
Vb,0.0026963377134039635
phi_Vb,0.0013657268809000092
